fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_loefflerk,results_warnockr,results_collinsd,results_taylork,results_jacksond,results_graysond,results_jamesj,results_liebermanm,results_johnsonw,results_johnson_shealeyt,results_jacksona,results_sladej,results_winfieldr,results_slowinskib,results_buckleya,results_bartella,results_fortuinj,results_greenem,results_tarvere,results_stovallv,results_write_ins,results_absentee_loefflerk,results_absentee_warnockr,results_absentee_collinsd,results_absentee_taylork,results_absentee_jacksond,results_absentee_graysond,results_absentee_jamesj,results_absentee_liebermanm,results_absentee_johnsonw,results_absentee_johnson_shealeyt,results_absentee_jacksona,results_absentee_sladej,results_absentee_winfieldr,results_absentee_slowinskib,results_absentee_buckleya,results_absentee_bartella,results_absentee_fortuinj,results_absentee_greenem,results_absentee_tarvere,results_absentee_stovallv,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time,results_kellym,results_mcsallym,results_absentee_kellym,results_absentee_mcsallym
13109,Evans,4147,3450,1,1,Released as a precinct as first report of the night,98,4247,98%,98% reported,edison,10,unknown,,3528,,,1503,791,1099,51,184,70,57,77,53,57,52,41,22,16,21,9,10,10,19,5,,1280,670,932,35,143,56,45,62,38,45,34,21,18,12,16,9,9,6,16,3,,2020-11-24T13:26:48Z,9.74198,R+10,Loeffler +10,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13111,Fannin,14571,10047,12,12,Released as a precinct at the end of tabulation,98,14850,98%,98% reported,edison,10,unknown,,7570,,,3877,1694,7542,94,263,190,32,270,122,51,109,42,39,66,49,27,26,32,23,23,,2590,1446,4999,51,212,107,26,228,65,39,57,31,34,45,33,19,15,16,21,13,,2020-11-24T13:26:48Z,25.1527,R+25,Collins +25,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13113,Fayette,70942,60952,36,36,Other,99,71993,>98%,>98% reported,edison,10,unknown,,60498,,,21759,22840,13916,428,3658,594,1010,1932,399,1061,624,579,332,567,227,229,231,154,198,204,,18068,20734,11855,334,3192,492,839,1634,309,897,468,458,283,406,181,171,166,119,176,170,,2020-11-24T13:26:49Z,1.52378,D+1.5,Warnock +1.5,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13115,Floyd,40930,30704,25,25,None,100,38588,>98%,>98% reported,edison,10,unknown,,25280,,,15417,8151,11097,500,1295,497,386,937,354,457,491,188,138,330,149,122,133,131,68,89,,11308,6730,8248,335,984,335,291,703,222,326,327,138,104,200,101,75,87,77,48,65,,2020-11-24T13:26:49Z,10.55461,R+11,Loeffler +11,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13117,Forsyth,127000,113790,20,20,Released as a separate subtotal in the middle of the tabulation,98,129305,98%,98% reported,edison,10,unknown,,77750,,,44383,23895,35067,978,6256,1700,1106,4335,1064,1611,1536,762,536,1315,505,360,490,427,371,303,,39526,22343,31550,783,5633,1376,962,3912,861,1393,1270,654,484,1010,413,289,401,336,348,246,,2020-11-24T13:26:49Z,7.33543,R+7,Loeffler +7,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13119,Franklin,10589,7971,7,7,Released as a separate subtotal as first report of the night,98,10786,98%,98% reported,edison,10,unknown,,4626,,,2258,613,6158,100,303,188,93,220,146,89,122,42,27,63,32,30,21,33,31,17,3,1645,502,4723,59,236,123,62,170,95,68,88,25,20,35,21,22,18,24,22,10,3,2020-11-24T13:26:49Z,36.83067,R+37,Collins +37,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13121,Fulton,517607,455801,384,384,Released as a precinct as first report of the night,99,524659,>98%,>98% reported,edison,10,unknown,,262589,,,83536,263365,48437,1906,41203,2590,13041,20109,1855,13871,3325,6744,3429,3423,1916,1484,1945,1292,2391,1745,,72206,240064,42245,1461,34301,2023,10618,17628,1421,11516,2596,5499,2846,2650,1544,1177,1560,969,2111,1366,,2020-11-24T13:26:49Z,34.74238,D+35,Warnock +35,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13123,Gilmer,16201,11420,13,13,Released as a precinct as first report of the night,98,16525,98%,98% reported,edison,10,some,,8613,,,4908,1897,7711,93,319,192,49,272,165,84,126,53,36,105,47,35,43,24,21,21,,3261,1640,5338,53,256,115,37,221,95,61,84,44,29,58,30,24,30,16,16,12,,2020-11-24T13:26:49Z,17.3014,R+17,Collins +17,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13125,Glascock,1500,1073,3,4,None,96,1566,96%,96% reported,edison,10,unknown,,920,,,819,84,436,10,25,22,10,17,22,5,20,1,1,7,3,0,2,2,13,1,,589,65,313,6,20,12,7,11,12,2,14,0,0,5,2,0,0,2,13,0,,2020-11-24T13:26:49Z,25.53333,R+26,Loeffler +26,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13127,Glynn,40767,33932,20,20,Released as a precinct as first report of the night,97,41984,97%,97% reported,edison,10,unknown,,28819,,,11810,7272,10293,635,3171,740,743,1430,982,949,634,524,207,285,263,195,141,156,207,130,,9706,6485,8607,487,2645,561,590,1246,739,777,472,403,176,199,208,144,105,103,182,97,,2020-11-24T13:26:49Z,3.72115,R+4,Loeffler +4,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13129,Gordon,23470,15575,12,12,Other,98,24033,98%,98% reported,edison,10,some,,12109,,,9539,2619,7586,340,646,515,140,447,318,197,361,93,68,167,109,76,69,101,46,33,,6164,2034,5007,202,475,290,98,322,166,124,210,59,50,86,72,52,50,58,31,25,,2020-11-24T13:26:49Z,8.32126,R+8,Loeffler +8,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13131,Grady,10406,7791,11,13,Released as a precinct as first report of the night,97,10707,97%,97% reported,edison,10,all,,7808,,,2719,1406,3475,145,890,227,241,294,130,316,145,103,70,44,42,47,22,35,39,16,,1922,1185,2522,106,726,155,203,228,97,240,99,77,56,21,27,36,18,26,36,11,,2020-11-24T13:26:49Z,7.26504,R+7,Collins +7,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13133,Greene,11123,9681,5,5,Released as a precinct as first report of the night,99,11247,>98%,>98% reported,edison,10,all,,8130,,,3349,2572,3608,40,872,74,67,173,36,80,49,34,38,40,18,12,15,16,14,16,,2937,2264,3241,30,659,57,56,145,24,68,42,31,33,27,15,9,10,13,12,8,,2020-11-24T13:26:50Z,2.32851,R+2,Collins +2,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13135,Gwinnett,402715,330274,156,156,Released with cumulative results periodically election night,97,413865,97%,97% reported,edison,10,unknown,,177474,,,88613,142968,57886,2487,35908,4978,9864,16037,3655,16098,4373,4758,3204,3197,1563,1413,1537,1242,1743,1191,,70622,125413,46769,1699,28985,3539,7751,12847,2548,12670,3113,3502,2483,2077,1067,966,1102,841,1439,841,,2020-11-24T13:26:50Z,13.49714,D+13,Warnock +13,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13137,Habersham,20122,16967,7,7,Other,98,20432,98%,98% reported,edison,10,unknown,,14590,,,5371,2133,10319,142,443,237,120,326,149,147,185,67,61,171,62,38,39,49,31,32,,4467,1886,8875,103,351,171,89,275,112,113,130,55,39,117,50,28,28,32,22,24,,2020-11-24T13:26:50Z,24.59,R+25,Collins +25,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13139,Hall,89495,74332,31,31,None,99,90523,>98%,>98% reported,edison,10,unknown,,42947,,,21965,14889,39470,569,3679,842,819,1826,559,1069,781,552,308,771,291,245,243,211,195,211,,17992,13093,33332,420,2850,614,633,1450,386,821,589,406,229,519,203,166,177,145,155,152,,2020-11-24T13:26:50Z,19.55975,R+20,Collins +20,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13141,Hancock,4089,3190,10,10,None,98,4165,98%,98% reported,edison,10,unknown,,2875,,,608,2129,476,14,330,18,103,89,15,117,23,44,38,7,12,16,8,8,30,4,,470,1726,376,7,233,11,82,64,6,81,14,34,25,3,8,11,5,4,27,3,,2020-11-24T13:26:43Z,37.19736,D+37,Warnock +37,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13143,Haralson,13969,9319,12,12,Merged into voters' home precincts and released with cumulative results,98,14272,98%,98% reported,edison,10,unknown,,6862,,,6533,1200,4488,211,201,218,51,167,299,85,155,34,29,99,43,42,38,50,12,14,0,4296,933,2990,115,156,129,38,121,187,65,90,20,19,59,20,18,20,24,12,7,0,2020-11-24T13:26:43Z,14.63956,R+15,Loeffler +15,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13145,Harris,19738,12845,12,12,None,99,19991,>98%,>98% reported,edison,10,unknown,,12696,,,7090,3776,6438,156,601,232,141,291,141,196,179,61,67,129,49,42,36,29,48,36,,4266,2894,4075,87,424,132,109,213,82,144,105,40,47,64,30,27,27,11,43,25,,2020-11-24T13:26:43Z,3.30327,R+3,Loeffler +3,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13147,Hart,12354,9490,7,7,Released as a precinct at the end of tabulation,97,12727,97%,97% reported,edison,10,some,,6811,,,2080,1302,6665,107,598,185,199,340,163,174,154,89,37,61,46,31,34,26,43,20,,1495,1091,5169,76,468,135,160,286,110,128,105,61,29,37,29,20,24,18,37,12,,2020-11-24T13:26:43Z,37.11349,R+37,Collins +37,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13149,Heard,5247,3454,6,6,Merged into voters' home precincts and released with cumulative results,97,5397,97%,97% reported,edison,10,unknown,,2362,,,2542,592,1515,60,94,86,14,54,75,26,51,17,19,33,14,15,8,14,8,10,0,1600,452,1029,29,65,54,10,40,41,19,35,11,12,20,6,8,6,7,6,4,0,2020-11-24T13:26:43Z,19.57309,R+20,Loeffler +20,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13151,Henry,121470,104892,37,37,Other,99,122742,>98%,>98% reported,edison,10,unknown,,101421,,,26824,49407,16836,685,10571,986,3290,3063,637,3291,815,1462,800,687,373,307,292,288,416,440,,22425,44884,14408,492,8829,734,2747,2574,465,2755,627,1163,662,490,282,222,227,210,355,341,,2020-11-24T13:26:43Z,18.59142,D+19,Warnock +19,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13153,Houston,73818,55560,16,16,Other,99,74823,>98%,>98% reported,edison,10,some,,53598,,,22327,21945,16037,646,4087,828,1436,1502,499,1203,658,475,425,552,208,200,190,167,269,164,,15940,17969,12091,395,3034,543,1079,1099,306,883,402,324,326,321,145,137,130,102,224,110,,2020-11-24T13:26:43Z,0.51749,R+0.52,Loeffler +0.52,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13155,Irwin,4093,3215,3,3,Released as a precinct as first report of the night,98,4168,98%,98% reported,edison,10,all,,2670,,,1459,606,1435,48,149,51,43,42,51,79,33,13,19,15,6,14,6,13,6,5,,1139,470,1174,38,112,34,27,28,35,63,22,8,13,12,6,11,3,9,6,5,,2020-11-24T13:26:43Z,0.58637,R+0.59,Loeffler +0.59,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13157,Jackson,37156,31116,4,4,Released as a precinct as first report of the night,99,37670,>98%,>98% reported,edison,10,some,,20045,,,12593,4783,14914,412,1077,458,259,598,317,311,386,161,94,317,98,81,105,76,58,58,,10388,4187,12745,310,900,356,202,486,225,249,283,132,78,212,74,56,80,58,51,44,,2020-11-24T13:26:44Z,6.24664,R+6,Collins +6,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13159,Jasper,7537,5685,3,3,Released as a precinct as first report of the night,99,7644,>98%,>98% reported,edison,10,unknown,,5181,,,3246,1218,2142,73,220,108,60,91,65,79,62,28,21,37,27,15,16,12,6,11,,2385,1015,1610,47,165,65,50,79,46,62,39,20,20,21,23,11,10,6,5,6,,2020-11-24T13:26:44Z,14.64774,R+15,Loeffler +15,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13161,Jeff Davis,5603,3983,6,7,Other,97,5771,97%,97% reported,edison,10,some,,3910,,,1719,590,1774,769,192,95,68,55,99,49,50,19,7,26,33,16,8,14,9,11,,1226,449,1298,507,149,60,49,38,55,37,27,10,4,17,20,12,4,8,6,7,,2020-11-24T13:26:44Z,0.98162,R+0.98,Collins +0.98,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13163,Jefferson,7462,5321,7,8,Merged into voters' home precincts and released with cumulative results,98,7642,98%,98% reported,edison,10,all,,4930,,,1847,2487,1429,40,620,59,184,145,42,205,46,51,32,24,28,14,17,12,175,5,,1239,1907,1051,23,387,33,131,98,20,133,25,36,23,13,21,12,9,8,149,3,,2020-11-24T13:26:44Z,8.57679,D+9,Warnock +9,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13165,Jenkins,3366,2500,4,5,Other,97,3455,97%,97% reported,edison,10,unknown,,2806,,,1104,806,849,33,172,41,77,55,34,45,31,11,27,8,14,10,9,6,30,4,,821,632,633,16,117,23,53,37,23,35,22,8,17,3,10,7,7,5,28,3,,2020-11-24T13:26:44Z,7.57576,R+8,Loeffler +8,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13167,Johnson,3961,2997,3,4,Released as a precinct as first report of the night,97,4100,97%,97% reported,edison,10,unknown,,3190,,,1376,763,1243,35,197,44,43,25,40,72,34,18,10,14,11,12,4,6,10,4,,1025,631,927,20,153,30,35,19,18,53,19,15,7,9,8,9,4,4,8,3,,2020-11-24T13:26:44Z,3.35774,R+3,Loeffler +3,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13169,Jones,14754,10905,9,10,Merged into voters' home precincts AFTER election night,99,14966,>98%,>98% reported,edison,10,some,,10683,,,5397,3496,3809,132,545,188,184,235,126,143,110,71,60,68,46,37,23,39,34,11,,3745,2919,2767,81,426,112,140,189,81,112,67,50,47,36,30,26,14,26,31,6,,2020-11-24T13:26:44Z,10.76318,R+11,Loeffler +11,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13171,Lamar,8943,6700,6,6,None,99,9039,>98%,>98% reported,edison,10,all,,6784,,,3243,1994,2585,82,257,112,78,113,86,74,85,30,43,51,25,17,24,12,14,18,,2351,1653,1934,47,192,77,56,80,46,52,57,24,32,28,17,12,19,6,11,6,,2020-11-24T13:26:44Z,7.35771,R+7,Loeffler +7,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13173,Lanier,3428,2771,1,1,Released separately AFTER election night,96,3576,96%,96% reported,edison,10,unknown,,2618,,,1191,365,944,79,244,92,44,101,51,107,52,21,18,29,22,17,9,14,18,10,,973,326,793,59,187,73,28,77,38,76,32,18,17,19,12,11,5,9,14,4,,2020-11-24T13:26:44Z,7.20537,R+7,Loeffler +7,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13175,Laurens,22323,14852,16,16,Released as a precinct at the end of tabulation,98,22729,98%,98% reported,edison,10,unknown,,14083,,,6592,5334,6762,174,1335,234,329,304,160,305,215,130,88,76,59,59,36,42,66,23,,3977,4157,4273,99,971,129,230,225,85,210,123,76,68,47,37,35,26,14,51,19,,2020-11-24T13:26:45Z,0.76155,R+0.76,Collins +0.76,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13177,Lee,16458,12525,9,10,Merged into voters' home precincts and released with cumulative results,98,16714,98%,98% reported,edison,10,none,,10498,,,6365,2970,4675,193,586,248,171,299,128,196,149,80,60,101,47,45,23,47,45,30,,4798,2420,3535,120,445,171,134,236,86,152,105,58,50,57,32,34,17,19,38,18,,2020-11-24T13:26:45Z,10.26856,R+10,Loeffler +10,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13179,Liberty,20953,17547,13,13,Released as a precinct as first report of the night,98,21389,98%,98% reported,edison,10,unknown,,15842,,,3759,7723,2939,212,2302,260,769,671,192,714,247,307,146,163,89,91,78,94,114,83,,2997,6867,2403,150,1960,189,646,566,124,598,164,243,125,118,65,64,59,57,99,53,,2020-11-24T13:26:45Z,18.91853,D+19,Warnock +19,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13181,Lincoln,4561,3398,6,7,Released as a precinct as first report of the night,98,4650,98%,98% reported,edison,10,unknown,,4384,,,1725,803,1246,29,199,40,84,84,39,50,32,24,16,31,8,11,8,10,114,8,0,1211,661,932,15,159,26,67,62,21,32,21,16,14,24,5,9,5,6,107,5,0,2020-11-24T13:26:45Z,10.50208,R+11,Loeffler +11,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13183,Long,5520,4008,7,7,Released as a precinct as first report of the night,98,5656,98%,98% reported,edison,10,unknown,,2792,,,1708,1233,1250,99,321,107,119,111,95,134,89,40,28,47,37,25,15,22,15,25,,1185,1027,878,60,241,72,88,90,52,102,52,30,22,28,19,17,9,14,8,14,,2020-11-24T13:26:45Z,8.2971,R+8,Loeffler +8,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13185,Lowndes,45145,36591,13,13,Merged into voters' home precincts and released with cumulative results,97,46355,97%,97% reported,edison,10,unknown,,37909,,,12607,7931,10085,775,4899,790,1514,1524,451,1468,582,679,273,334,221,163,152,170,413,114,,10049,6998,8099,560,4010,564,1241,1237,316,1197,430,526,223,213,161,115,114,118,350,70,,2020-11-24T13:26:45Z,5.58644,R+6,Loeffler +6,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13187,Lumpkin,15324,12963,1,1,Merged into voters' home precincts and released with cumulative results,99,15531,>98%,>98% reported,edison,10,unknown,,9491,,,4366,2042,7074,115,316,200,57,304,136,65,128,57,44,181,56,30,67,44,18,24,,3597,1885,6026,84,268,148,46,257,103,53,99,44,39,129,44,23,56,30,17,15,,2020-11-24T13:26:45Z,17.67163,R+18,Collins +18,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13193,Macon,4553,3523,4,5,Other,98,4662,98%,98% reported,edison,10,unknown,,4178,,,823,1987,810,21,396,34,95,118,29,83,26,25,31,12,14,14,6,4,20,5,,664,1559,671,15,262,28,68,85,22,53,12,17,17,7,10,10,3,3,15,2,,2020-11-24T13:26:46Z,25.56556,D+26,Warnock +26,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13195,Madison,14674,10432,11,12,Other,98,14937,98%,98% reported,edison,10,some,,8483,,,4808,2284,5756,113,431,166,97,249,119,113,115,59,57,92,40,42,33,41,26,33,,3301,1849,4074,76,305,101,67,186,75,76,62,42,43,48,23,26,19,25,17,17,,2020-11-24T13:26:46Z,6.46041,R+6,Collins +6,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13197,Marion,3550,2576,4,5,Merged into voters' home precincts AFTER election night,98,3624,98%,98% reported,edison,10,unknown,,2134,,,1078,849,986,37,195,46,44,69,35,41,31,32,16,18,15,16,5,8,23,6,,745,700,676,12,152,26,35,51,19,34,21,25,13,14,8,11,4,5,20,5,,2020-11-24T13:26:46Z,2.59155,R+3,Loeffler +3,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13189,McDuffie,10307,8870,9,9,Released as a separate subtotal as first report of the night,99,10455,>98%,>98% reported,edison,10,unknown,,8941,,,3503,2387,2260,82,669,116,225,165,82,195,83,68,60,54,37,23,28,22,232,16,,3078,2107,1976,68,526,88,187,120,63,151,57,52,52,39,28,16,22,13,214,13,,2020-11-24T13:26:45Z,10.82759,R+11,Loeffler +11,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13191,McIntosh,6494,5253,6,6,Merged into voters' home precincts and released with cumulative results,97,6696,97%,97% reported,edison,10,unknown,,6114,,,2117,1545,1494,52,463,74,109,169,93,96,54,51,32,24,34,24,11,18,18,16,,1691,1332,1220,35,365,53,81,135,75,75,34,33,24,16,22,16,7,14,16,9,,2020-11-24T13:26:45Z,8.80813,R+9,Loeffler +9,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13199,Meriwether,10694,7304,14,14,Released as a precinct as first report of the night,98,10877,98%,98% reported,edison,10,unknown,,5128,,,3255,3018,2664,83,556,133,161,131,90,208,92,54,66,34,44,26,12,25,23,19,,2105,2238,1842,46,369,77,111,80,58,130,55,36,41,19,35,13,6,16,17,10,,2020-11-24T13:26:46Z,2.2162,R+2,Loeffler +2,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13201,Miller,2643,1974,1,1,Released as a separate subtotal in the middle of the tabulation,93,2835,93%,93% reported,edison,10,unknown,,2251,,,881,271,883,37,179,61,40,64,41,41,37,16,13,12,19,20,6,7,11,4,,640,202,686,23,135,44,31,49,29,33,21,9,10,8,15,16,5,5,10,3,,2020-11-24T13:26:46Z,0.07567,R+0.08,Collins +0.08,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13205,Mitchell,8810,6443,11,11,Other,98,8963,98%,98% reported,edison,10,unknown,,6909,,,2090,2598,2538,62,603,87,141,164,48,179,51,54,72,20,20,25,14,19,16,9,,1474,2072,1744,40,459,45,109,124,36,140,29,32,54,11,16,18,13,10,12,5,,2020-11-24T13:26:46Z,0.68104,D+0.68,Warnock +0.68,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13207,Monroe,15345,11564,14,14,Released as a separate subtotal as first report of the night,98,15592,98%,98% reported,edison,10,unknown,,9966,,,6077,3197,4201,114,423,165,147,227,161,126,105,65,53,94,45,33,30,32,25,25,,4346,2703,3123,73,331,105,115,189,123,99,69,48,40,60,32,26,20,22,20,20,,2020-11-24T13:26:46Z,12.22548,R+12,Loeffler +12,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13209,Montgomery,3838,2503,6,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",97,3966,97%,97% reported,edison,10,all,,2408,,,1332,582,1266,106,177,60,45,51,46,44,34,17,11,14,13,16,9,7,5,3,,845,441,808,58,116,39,32,37,24,29,17,11,8,7,6,10,6,3,5,1,,2020-11-24T13:26:46Z,1.71965,R+1.7,Loeffler +1.7,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13211,Morgan,11565,9178,7,7,Merged into voters' home precincts and released with cumulative results,99,11707,>98%,>98% reported,edison,10,all,,7670,,,4360,2392,3502,78,371,96,79,166,66,107,75,43,46,57,30,18,18,22,18,21,,3351,2089,2776,58,293,60,59,128,33,83,49,36,35,36,25,11,12,11,17,16,,2020-11-24T13:26:47Z,7.41894,R+7,Loeffler +7,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13213,Murray,14731,10480,6,7,Merged into voters' home precincts and released with cumulative results,96,15389,96%,96% reported,edison,10,all,,6982,,,6300,765,4793,257,538,407,107,354,253,125,263,72,53,112,86,59,49,76,42,20,,4416,628,3456,174,397,267,79,264,155,93,177,43,41,88,52,33,33,42,33,9,,2020-11-24T13:26:47Z,10.23013,R+10,Loeffler +10,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13215,Muscogee,79348,66079,24,25,Merged into voters' home precincts and released with cumulative results,99,80543,>98%,>98% reported,edison,10,unknown,,59253,,,15307,32560,12544,422,6577,597,2004,2432,391,2048,539,900,631,488,310,256,226,206,677,233,,12200,28927,10037,272,5309,413,1606,2002,265,1669,389,692,492,315,235,195,176,142,571,172,,2020-11-24T13:26:47Z,21.74346,D+22,Warnock +22,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13217,Newton,53572,35820,22,22,None,99,54239,>98%,>98% reported,edison,10,unknown,,40739,,,13443,20450,8222,321,4116,442,1348,1076,345,1429,365,501,352,310,177,136,125,103,179,132,,7252,16350,4715,153,2893,235,946,733,148,1000,182,312,235,141,95,80,73,52,142,83,,2020-11-24T13:26:47Z,13.07959,D+13,Warnock +13,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13219,Oconee,24909,21432,12,12,Merged into voters' home precincts and released with cumulative results,99,25168,>98%,>98% reported,edison,10,unknown,,16322,,,9914,5448,6165,174,797,233,149,603,159,246,202,89,128,258,62,40,66,56,70,50,,8362,5011,5225,124,714,184,128,532,125,212,162,77,120,177,42,30,54,46,67,40,,2020-11-24T13:26:47Z,15.05078,R+15,Loeffler +15,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13221,Oglethorpe,7970,6502,3,3,Merged into voters' home precincts and released with cumulative results,98,8131,98%,98% reported,edison,10,some,,4622,,,2901,1720,2176,103,279,109,61,132,68,94,75,31,28,74,27,16,16,20,20,20,,2360,1430,1809,74,225,80,41,108,48,72,52,28,23,59,23,9,11,15,18,17,,2020-11-24T13:26:47Z,9.09661,R+9,Loeffler +9,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13223,Paulding,83986,70392,19,19,Released as a precinct as first report of the night,98,85385,98%,98% reported,edison,10,unknown,,61685,,,30597,19118,18444,931,4234,1215,1338,1750,762,1424,1024,604,375,759,305,222,252,247,181,204,,25349,17047,15497,694,3544,891,1105,1411,546,1171,760,454,321,517,230,170,191,184,156,154,,2020-11-24T13:26:47Z,13.66775,R+14,Loeffler +14,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
